Group,AI,CB,CE,CH,CS,CT,EC,MC,MM,MT,XX,Total
Group 1,7.0,7.0,7.0,7,7,6.0,6.0,6,6,6,4.0,69.0
Group 2,7.0,7.0,7.0,7,7,7.0,7.0,7,7,6,0.0,69.0
Group 3,7.0,7.0,7.0,7,7,7.0,7.0,7,7,6,0.0,69.0
Group 4,7.0,7.0,7.0,7,7,7.0,7.0,7,7,6,0.0,69.0
Group 5,7.0,7.0,7.0,7,7,7.0,7.0,7,7,6,0.0,69.0
Group 6,7.0,7.0,7.0,7,7,7.0,7.0,7,7,6,0.0,69.0
Group 7,3.0,8.0,8.0,8,7,7.0,7.0,7,7,7,0.0,69.0
Group 8,0.0,0.0,6.0,10,10,10.0,6.0,9,9,9,0.0,69.0
Group 9,0.0,0.0,0.0,13,13,6.0,0.0,13,12,12,0.0,69.0
Group 10,0.0,0.0,0.0,11,23,0.0,0.0,5,13,14,0.0,66.0
